"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Transferts","0","Retraits","2","0","Le formulaire de retrait affiche les messages d'erreur appropriés en cas de données invalides","0"
"0","","0","","4","1","","0"
"0","Investissement","0","Plan Bitcoin Famille","1","0","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","0"
"0","Transferts","0","Retraits","1","0","Un utilisateur non approuvé ne peut pas initier un retrait et voit un message d'erreur approprié","0"
"0","Support client","1","Tickets de support","0","0","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","0"
"0","Authentification","0","Réinitialisation du mot de passe","1","0","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","0"
"0","Authentification","0","Expiration de session","1","0","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","0"
"0","Onboarding","1","Flows complets d'onboarding","0","0","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur ne peut pas se connecter avec un email non enregistré","0"
"0","Transferts","0","Dépôts","1","0","Un utilisateur peut déposer des euros sur son compte via Open Banking avec succès","0"
"0","Portefeuille","0","Portefeuilles non hébergés","1","0","Un utilisateur peut ajouter un portefeuille non hébergé avec succès","0"
"0","Trading","0","Vente de cryptomonnaies","1","0","Un utilisateur peut vendre de l'ETH avec succès","0"
"0","Trading","0","Échange de cryptomonnaies","1","0","Un utilisateur peut échanger du BTC contre de l'ETH avec succès","0"
"0","Trading","0","Achat de cryptomonnaies","1","0","Un utilisateur peut acheter du BTC via le compte de trading avec succès","0"
"0","Portefeuille","0","Adresses de retrait de cryptomonnaies","1","0","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","0"
"0","Trading","0","Échange de cryptomonnaies","1","0","Un utilisateur peut échanger de l'USDC contre du BTC avec succès","0"
"0","Investissement","0","Plan Bitcoin Famille","1","0","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","0"
"0","Onboarding","0","Flows complets d'onboarding","1","0","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","0"
"0","Trading","0","Achat de cryptomonnaies","1","0","Un utilisateur peut acheter de l'ETH via une nouvelle carte de paiement avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","0"
"0","Authentification","0","Réinitialisation du mot de passe","1","0","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","0"
"0","Authentification","0","Réinitialisation du mot de passe","1","0","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","0"
"0","Trading","1","Échange de cryptomonnaies","0","0","Un utilisateur peut échanger du BTC contre de l'USDC avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","0"
"0","Trading","0","Vente de cryptomonnaies","1","0","Un utilisateur peut vendre de l'USDC avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut se connecter avec des identifiants valides et 2FA activée","0"
"0","Authentification","0","Compte verrouillé","1","0","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","0"
"0","Transferts","1","Retraits","0","0","Un utilisateur peut retirer des cryptomonnaies de son compte avec succès","0"
"0","Trading","0","Mode Expert","1","0","Un utilisateur peut acheter du BTC au marché avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","0"
"0","Trading","0","Mode Expert","1","0","Un utilisateur peut vendre du BTC au marché avec succès","0"
