"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Navigation","1","Navigation in-app","0","0","Un utilisateur peut naviguer vers les principales sections du site via le menu responsive","0"
"0","Trading","6","Achat de cryptomonnaies","0","0","","0"
"0","Authentification","1","Connexion","0","0","Un utilisateur peut se connecter avec des identifiants valides et 2FA activée","0"
"0","Authentification","0","Réinitialisation du mot de passe","1","0","Le formulaire de réinitialisation du mot de passe affiche les messages d'erreur appropriés en cas de données invalides","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur avec un compte verrouillé voit un message d'erreur approprié lors de la tentative de connexion","0"
"0","Transferts","2","Transferts internes","0","0","","0"
"0","Investissement","1","Plan Bitcoin Famille","0","0","Un utilisateur non approuvé ne peut pas créer de plan famille et voit un message d'erreur approprié","0"
"0","Investissement","0","Plan Bitcoin Famille","1","0","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés","0"
"0","","0","","4","1","","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut accéder à la page d'inscription depuis la page de connexion","0"
"0","Trading","4","Mode Expert","0","0","","0"
"0","Authentification","0","Connexion","1","0","Le formulaire de connexion affiche les messages d'erreur appropriés en cas de données invalides","0"
"0","Trading","6","Échange de cryptomonnaies","0","0","","0"
"0","Authentification","1","Connexion","0","0","Un utilisateur non approuvé est redirigé vers la page d'onboarding incomplète après connexion","0"
"0","Investissement","0","Plan Bitcoin Famille","1","0","La page de présentation du Plan Bitcoin Famille est accessible et affiche les informations clés à un utilisateur non connecté","0"
"0","Authentification","1","Authentification à deux facteurs","0","0","Un utilisateur peut activer et désactiver l'authentification à deux facteurs avec succès","0"
"1","Authentification","0","Compte verrouillé","0","0","Un utilisateur est vérouillé après plusieurs tentatives de connexion infructueuses","0"
"0","Transferts","3","Retraits","0","0","","0"
"0","Gestion du compte","1","Changement de mot de passe","0","0","Un utilisateur peut changer son mot de passe avec succès","0"
"0","Onboarding","0","Flows complets d'onboarding","1","0","Un Utilisateur B2C peut compléter le flow d'onboarding avec succès","0"
"0","Trading","3","Vente de cryptomonnaies","0","0","","0"
"0","Transferts","2","Dépôts","0","0","","0"
"1","Authentification","0","Réinitialisation du mot de passe","0","0","Un utilisateur peut réinitialiser son mot de passe avec succès via le lien envoyé par email","0"
"0","Onboarding","1","Flows complets d'onboarding","0","0","Un Utilisateur B2B peut compléter le flow d'onboarding avec succès","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur peut accéder à la page de réinitialisation du mot de passe depuis la page de connexion","0"
"0","Support client","1","Tickets de support","0","0","Un utilisateur peut créer un ticket de support, ajouter un commentaire, puis fermer le ticket","0"
"0","Authentification","0","Déconnexion","1","0","Un utilisateur peut se déconnecter avec succès","0"
"0","Authentification","1","Expiration de session","0","0","Un utilisateur est automatiquement déconnecté après l'expiration de sa session","0"
"0","Authentification","0","Routes protégées","1","0","Un utilisateur non authentifié est redirigé vers la page de connexion lorsqu'il tente d'accéder à une route protégée","0"
"0","Transferts","1","Envoi par email","0","0","","0"
"0","Authentification","0","Réinitialisation du mot de passe","1","0","Le formulaire de réinitialisation du mot de passe affiche un message de succès même si l'email n'est pas enregistré (obfuscation)","0"
"0","Portefeuille","1","Portefeuilles non hébergés","0","0","","0"
"0","Portefeuille","1","Adresses de retrait de cryptomonnaies","0","0","Un utilisateur peut ajouter une adresse de retrait BTC avec succès","0"
"0","Investissement","1","DCA (Achats récurrents)","0","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","Authentification","1","Expiration de session","0","0","Un utilisateur peut réactiver sa session après une expiration temporaire sans être redirigé vers la page de connexion","0"
"0","Authentification","1","Connexion","0","0","Un utilisateur ne peut pas se connecter avec un mot de passe incorrect","0"
"0","Authentification","1","Connexion","0","0","Un utilisateur peut se connecter avec des identifiants valides et sans 2FA","0"
"0","Authentification","0","Connexion","1","0","Un utilisateur ne peut pas se connecter avec un email non enregistré","0"
